id,URL,Restaurant,Longitude,Latitude,Rating,Category,PriceLevel,City
ChIJE8Ap09bxaS4Rcy6Nszaz2r4,https://maps.google.com/?cid=13752501459651210867,Gultik blok M,106.7933587,-6.2438521,4.5,restaurant,INEXPENSIVE,Jakarta Barat
ChIJUdeM3IjxaS4RIlHsVsHC6hM,https://maps.google.com/?cid=1435173566913728802,Ok Pocha&CAFE,106.7693236,-6.2369572,4.3,restaurant,MODERATE,Jakarta Barat
ChIJlY3V4-nxaS4RjwpQazuMsD4,https://maps.google.com/?cid=4517264613083974287,Sentosa Senayan,106.807461,-6.2205886,4.5,seafood_restaurant,MODERATE,Jakarta Barat
ChIJ2SFmLGXxaS4R6FcrUyOT3ec,https://maps.google.com/?cid=16707671972542896104,CORK&SCREW COUNTRY CLUB,106.7979397,-6.2259329,4.6,restaurant,EXPENSIVE,Jakarta Barat
ChIJwZ5UHjP3aS4RBTzWjjrqgko,https://maps.google.com/?cid=5369111243004460037,McDonald's Joglo,106.754029,-6.2188025,4.5,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJGZh-S6n2aS4R7aiQhcaVQSw,https://maps.google.com/?cid=3188994691031935213,Bopet Mini Benhil,106.8149517,-6.2151622,4.6,indonesian_restaurant,INEXPENSIVE,Jakarta Barat
ChIJ2WQWE5H2aS4RqPYBV4OgywE,https://maps.google.com/?cid=129373500271097512,Bakso Mas Kumis,106.8017407,-6.1907364,4.5,indonesian_restaurant,MODERATE,Jakarta Barat
ChIJu6rNZG7xaS4RnI6talcBY-k,https://maps.google.com/?cid=16817286908495105692,Roji Ramen Kamaja,106.7917934,-6.2417112,4.8,ramen_restaurant,MODERATE,Jakarta Barat
ChIJT2oNzln2aS4RBLjwrOjKdps,https://maps.google.com/?cid=11202364223813367812,Pisang Goreng Madu Bu Nanik,106.7837425,-6.1747345,4.6,restaurant,MODERATE,Jakarta Barat
ChIJdXvP5RPxaS4RJxUL7tUxiw4,https://maps.google.com/?cid=1047986133185271079,Panglima BBQ Ribs,106.7889313,-6.2448842,4.5,barbecue_restaurant,MODERATE,Jakarta Barat
ChIJ-cmvgf73aS4R8VSUYBjmJwM,https://maps.google.com/?cid=227403298579436785,McDonald's,106.7627826,-6.1658674,4.4,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJwZ5UHjP3aS4RBTzWjjrqgko,https://maps.google.com/?cid=5369111243004460037,McDonald's Joglo,106.754029,-6.2188025,4.5,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJUc3u4xb3aS4RNBZkSHrYRtk,https://maps.google.com/?cid=15656439174312236596,Layar Seafood & Ikan Bakar Pesanggrahan,106.7555698,-6.1955762,4.6,seafood_restaurant,MODERATE,Jakarta Barat
ChIJG481aUr3aS4R4aLH_N9X2tk,https://maps.google.com/?cid=15697956070683550433,Michael's Garden Cafe,106.7346848,-6.1897866,4.8,restaurant,MODERATE,Jakarta Barat
ChIJfXmi4E_3aS4RT203WSpGM5M,https://maps.google.com/?cid=10606898695087025487,Kampung Kecil Kedoya Puri Kembangan,106.7570235,-6.1804914,4.5,indonesian_restaurant,MODERATE,Jakarta Barat
ChIJEwwrrXH3aS4RcBo0XDRfOnc,https://maps.google.com/?cid=8591283917652499056,McDonald's Puri Kembangan,106.738068,-6.18725,4.6,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJ93ptFyD3aS4Raz2T9lHki2Q,https://maps.google.com/?cid=7245135466235903339,McDonald's Kebon Jeruk,106.7691556,-6.1993111,4.5,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJHZgeiT_3aS4RXiQeKD6kx6w,https://maps.google.com/?cid=12450100281757017182,Pantai Sentosa Seafood Market,106.7287368,-6.1825571,4.5,seafood_restaurant,MODERATE,Jakarta Barat
ChIJD45txOb5aS4RxhP_0PgkS34,https://maps.google.com/?cid=9100408123109086150,McDonald's,106.7165314,-6.2038283,4.4,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJm3MS2y37aS4RUrdDVjWdKa4,https://maps.google.com/?cid=12549734689050703698,Mimume,106.7027197,-6.2507627,4.3,restaurant,INEXPENSIVE,Jakarta Barat
ChIJV5S7Gt75aS4RjSAXFE5Vf78,https://maps.google.com/?cid=13798841577119359117,Kampung Kecil Cipondoh,106.6878581,-6.2075649,4.5,indonesian_restaurant,MODERATE,Jakarta Barat
ChIJP6K4RyH3aS4Rn0b3M4kAjfk,https://maps.google.com/?cid=17982029476442621599,Leviticus 11,106.7246618,-6.1965938,4.6,restaurant,MODERATE,Jakarta Barat
ChIJqykR15LwaS4RJKgs0nyDIlc,https://maps.google.com/?cid=6278725402633218084,Tamarin Cafe,106.7463335,-6.2480897,4.4,cafe,MODERATE,Jakarta Barat
ChIJvzfjtJ33aS4RPnHMqcR7KNM,https://maps.google.com/?cid=15215547425663775038,Permata Mubarok 1,106.7394481,-6.1766442,4.4,indonesian_restaurant,INEXPENSIVE,Jakarta Barat
ChIJk-nJt6LxaS4RDvmFIRrgoe0,https://maps.google.com/?cid=17123213661075536142,McDonald's Larangan Ciledug,106.7280009,-6.2314299,4.5,fast_food_restaurant,MODERATE,Jakarta Barat
ChIJNQJGKmn7aS4RLuWN0TKbUh8,https://maps.google.com/?cid=2257037005832447278,La Nuna Cafe & Resto,106.7007949,-6.22383,4.4,restaurant,MODERATE,Jakarta Barat
ChIJwZ5UHjP3aS4RBTzWjjrqgko,https://maps.google.com/?cid=5369111243004460037,McDonald's Joglo,106.754029,-6.2188025,4.5,fast_food_restaurant,MODERATE,Jakarta Barat
